Colonna,Riga,Cella,rssi_cQsW,distance_cQsW,rssi_kpOU,distance_kpOU,rssi_94gJ,distance_94gJ,rssi_Cvj5,distance_Cvj5,rssi_cGTg,distance_cGTg
A,1,prima,-86.3,188.6034872,-84.8,176.1395342,-85.5,192.029493,-79.5,115.8068788,-81,136.6459731
A,2,seconda,-82,137.7501264,-80.18181818,118.9940159,-83.72727273,161.278751,-87.45454545,226.2010871,-80.63636364,118.9076332
A,3,terza,-81.91666667,134.9210284,-76.91666667,86.7596183,-85.16666667,182.3064238,-87.5,211.9237513,-80.25,117.2002211
B,1,quarta,-87.08333333,216.825064,-84.75,172.5837695,-79.25,110.3159279,-82.33333333,145.1817036,-86.41666667,209.1937617
B,2,quinta,-80.84615385,128.2282437,-81.84615385,139.3474885,-83.53846154,157.1585073,-83.38461538,154.2724211,-85.46153846,190.1493575
B,3,sesta,,,,,,,,,,
C,1,settima,-89.66666667,261.2719125,-89.73333333,266.9504878,-74.46666667,71.13683659,-89,250.0055875,-90,261.4311809
C,2,ottava,-81.2,135.710395,-87,210.599611,-85.45,187.8453648,-85.2,182.9111559,-86.55,202.9901951
C,3,nona,-78.80769231,98.82517749,-89.26923077,254.0270308,-87.34615385,217.8741561,-86.76923077,210.363412,-86.38461538,200.8201517
