Colonna,Riga,Cella,rssi_cQsW,distance_cQsW,rssi_kpOU,distance_kpOU,rssi_94gJ,distance_94gJ,rssi_Cvj5,distance_Cvj5,rssi_cGTg,distance_cGTg
A,1,prima,-86.25,185.9972446,-85,177.2483305,-85.25,185.5800689,-79.5,113.0122225,-80.75,129.9666505
A,2,seconda,-82,136.5364606,-80,115.2510804,-84.11111111,164.0421188,-87.88888889,230.3736491,-80.77777778,118.9004802
A,3,terza,-81.8,131.3665469,-76.7,81.40444351,-85.2,178.1983179,-87.5,210.7430637,-80.2,115.2284383
B,1,quarta,-87.5,219.6206861,-84.8,171.7629851,-79.4,109.2268796,-82,135.2586869,-86.5,202.4127577
B,2,quinta,-80.77777778,118.7676057,-81.44444444,129.7234843,-83.44444444,151.5328849,-83.33333333,149.8161392,-85.66666667,185.8099226
B,3,sesta,,,,,,,,,,
C,1,settima,-90,271.296301,-90.27272727,276.4661782,-74,62.81171482,-88.90909091,245.3260154,-89.90909091,256.8074501
C,2,ottava,-80.8125,122.9936287,-86.9375,207.9434554,-85.1875,180.3499087,-85.0625,177.1366953,-86.5625,200.8948789
C,3,nona,-78.8,97.38835193,-89.35,254.3733034,-87.3,214.7923685,-86.7,206.358097,-86.2,195.1426162
