cella,rssi_cQsW,distance_cQsW,rssi_kpOU,distance_kpOU,rssi_94gJ,distance_94gJ,rssi_Cvj5,distance_Cvj5,rssi_cGTg,distance_cGTg,rssi_At5a,distance_At5a
cazzo ,-80.0,107.94950998807676,-76.0,72.72728275906731,-70.0,38.63088335482623,-68.0,30.91655846159923,-78.0,88.82761508564595,-62.0,59.575296141470595
cazzo ,-79.0,97.98282444405858,-76.0,72.72728275906731,-71.0,43.082237744493845,-69.0,34.58635039490085,-80.0,107.94950998807676,-63.0,67.38209833730585
cazzo ,-80.0,107.94950998807676,-77.0,80.42696273728642,-70.0,38.63088335482623,-69.0,34.58635039490085,-79.0,97.98282444405858,-63.0,67.38209833730585
cazzo ,-81.0,118.78808676203266,-76.0,72.72728275906731,-70.0,38.63088335482623,-71.0,43.082237744493845,-78.0,88.82761508564595,-63.0,67.38209833730585
cazzo ,-80.0,107.94950998807676,-77.0,80.42696273728642,-70.0,38.63088335482623,-68.0,30.91655846159923,-80.0,107.94950998807676,-62.0,59.575296141470595
cazzo ,-81.0,118.78808676203266,-78.0,88.82761508564595,-72.0,47.97472615363984,-80.0,107.94950998807676,-78.0,88.82761508564595,-62.0,59.575296141470595
cazzo ,-80.0,107.94950998807676,-78.0,88.82761508564595,-71.0,43.082237744493845,-69.0,34.58635039490085,-79.0,97.98282444405858,-63.0,67.38209833730585
cazzo ,-79.0,97.98282444405858,-77.0,80.42696273728642,-70.0,38.63088335482623,-68.0,30.91655846159923,-77.0,80.42696273728642,-63.0,67.38209833730585
cazzo ,-80.0,107.94950998807676,-78.0,88.82761508564595,-72.0,47.97472615363984,-70.0,38.63088335482623,-79.0,97.98282444405858,-64.0,76.06612134489447
cazzo ,-80.0,107.94950998807676,-78.0,88.82761508564595,-72.0,47.97472615363984,-71.0,43.082237744493845,-78.0,88.82761508564595,-64.0,76.06612134489447
cazzo ,-79.0,97.98282444405858,-77.0,80.42696273728642,-71.0,43.082237744493845,-70.0,38.63088335482623,-79.0,97.98282444405858,-64.0,76.06612134489447
cazzo ,-80.0,107.94950998807676,-79.0,97.98282444405858,-71.0,43.082237744493845,-70.0,38.63088335482623,-78.0,88.82761508564595,-64.0,76.06612134489447
cazzo ,-80.0,107.94950998807676,-78.0,88.82761508564595,-72.0,47.97472615363984,-70.0,38.63088335482623,-78.0,88.82761508564595,-63.0,67.38209833730585
cazzo ,-79.0,97.98282444405858,-77.0,80.42696273728642,-72.0,47.97472615363984,-70.0,38.63088335482623,-77.0,80.42696273728642,-64.0,76.06612134489447
cazzo ,-79.0,97.98282444405858,-82.0,130.5626326409025,-80.0,107.94950998807676,-69.0,34.58635039490085,-78.0,88.82761508564595,-64.0,76.06612134489447
cazzo2,-80.0,107.94950998807676,0.0,0.0,-70.0,38.63088335482623,-67.0,27.591543340333057,0.0,0.0,0.0,0.0
cazzo2,-79.0,97.98282444405858,0.0,0.0,-72.0,47.97472615363984,-67.0,27.591543340333057,-80.0,107.94950998807676,-63.0,67.38209833730585
cazzo2,-81.0,118.78808676203266,-77.0,80.42696273728642,-71.0,43.082237744493845,-69.0,34.58635039490085,-80.0,107.94950998807676,-63.0,67.38209833730585
cazzo2,-82.0,130.5626326409025,-78.0,88.82761508564595,-71.0,43.082237744493845,-69.0,34.58635039490085,-80.0,107.94950998807676,-63.0,67.38209833730585
cazzo2,-81.0,118.78808676203266,-77.0,80.42696273728642,-71.0,43.082237744493845,-69.0,34.58635039490085,-79.0,97.98282444405858,-64.0,76.06612134489447
cazzo2,-82.0,130.5626326409025,-77.0,80.42696273728642,-71.0,43.082237744493845,-69.0,34.58635039490085,-79.0,97.98282444405858,-64.0,76.06612134489447
cazzo2,-82.0,130.5626326409025,-76.0,72.72728275906731,-70.0,38.63088335482623,-69.0,34.58635039490085,-78.0,88.82761508564595,-63.0,67.38209833730585
cazzo2,-81.0,118.78808676203266,-76.0,72.72728275906731,-71.0,43.082237744493845,-69.0,34.58635039490085,-79.0,97.98282444405858,-64.0,76.06612134489447
cazzo2,-81.0,118.78808676203266,-77.0,80.42696273728642,-71.0,43.082237744493845,-69.0,34.58635039490085,-80.0,107.94950998807676,-64.0,76.06612134489447
cazzo2,-78.0,88.82761508564595,-77.0,80.42696273728642,-70.0,38.63088335482623,-69.0,34.58635039490085,-79.0,97.98282444405858,-64.0,76.06612134489447
cazzo2,-78.0,88.82761508564595,-79.0,97.98282444405858,-72.0,47.97472615363984,-69.0,34.58635039490085,-78.0,88.82761508564595,-64.0,76.06612134489447
cazzo2,-79.0,97.98282444405858,-79.0,97.98282444405858,-72.0,47.97472615363984,-69.0,34.58635039490085,-78.0,88.82761508564595,-64.0,76.06612134489447
cazzo2,-79.0,97.98282444405858,-79.0,97.98282444405858,-71.0,43.082237744493845,-69.0,34.58635039490085,-78.0,88.82761508564595,-64.0,76.06612134489447
cazzo2,-79.0,97.98282444405858,-79.0,97.98282444405858,-69.0,34.58635039490085,-68.0,30.91655846159923,-78.0,88.82761508564595,-64.0,76.06612134489447
cazzo2,-78.0,88.82761508564595,-78.0,88.82761508564595,-72.0,47.97472615363984,-69.0,34.58635039490085,-79.0,97.98282444405858,-64.0,76.06612134489447
cazzo2,-76.0,72.72728275906731,-78.0,88.82761508564595,-73.0,53.345013934089906,-70.0,38.63088335482623,-79.0,97.98282444405858,-68.0,121.32143643666592
cazzo2,-77.0,80.42696273728642,-79.0,97.98282444405858,-74.0,59.232244464959585,-72.0,47.97472615363984,-80.0,107.94950998807676,-66.0,96.4021832656627
cazzo2,-77.0,80.42696273728642,-78.0,88.82761508564595,-75.0,65.67816922105449,-71.0,43.082237744493845,-80.0,107.94950998807676,-68.0,121.32143643666592
cazzo2,-77.0,80.42696273728642,-77.0,80.42696273728642,-75.0,65.67816922105449,-72.0,47.97472615363984,-80.0,107.94950998807676,-67.0,108.23852042624587
cazzo2,-77.0,80.42696273728642,-78.0,88.82761508564595,-76.0,72.72728275906731,-71.0,43.082237744493845,-82.0,130.5626326409025,-67.0,108.23852042624587
cazzo2,-77.0,80.42696273728642,-78.0,88.82761508564595,-72.0,47.97472615363984,-69.0,34.58635039490085,-80.0,107.94950998807676,-67.0,108.23852042624587
cazzo2,-76.0,72.72728275906731,-77.0,80.42696273728642,-72.0,47.97472615363984,-69.0,34.58635039490085,-81.0,118.78808676203266,-66.0,96.4021832656627
cazzo2,-77.0,80.42696273728642,-76.0,72.72728275906731,-74.0,59.232244464959585,-71.0,43.082237744493845,-82.0,130.5626326409025,-67.0,108.23852042624587
cazzo2,-76.0,72.72728275906731,-77.0,80.42696273728642,-73.0,53.345013934089906,-70.0,38.63088335482623,-82.0,130.5626326409025,-66.0,96.4021832656627
cazzo2,-77.0,80.42696273728642,-77.0,80.42696273728642,-74.0,59.232244464959585,-70.0,38.63088335482623,-82.0,130.5626326409025,-68.0,121.32143643666592
cazzo2,-77.0,80.42696273728642,-77.0,80.42696273728642,-74.0,59.232244464959585,-68.0,30.91655846159923,-81.0,118.78808676203266,-68.0,121.32143643666592
