Colonna,Riga,Cella,rssi_cQsW,distance_cQsW,rssi_kpOU,distance_kpOU,rssi_94gJ,distance_94gJ,rssi_Cvj5,distance_Cvj5,rssi_cGTg,distance_cGTg
A,1,prima,-83.65,239.8469397,-79,245.4258733,-81,300.229146,-72.65,205.9962822,-74,253.1498165
A,2,seconda,-77.8,205.9962822,-75,205.9962822,-77.6,224.9599091,-79.8,316.8662916,-75.8,149.1131437
A,3,terza,-77.95,174.8393961,-70,133.4565061,-79.9,229.5552282,-83,292.5504635,-75,173.0134057
B,1,quarta,-83.7,316.8662916,-80.95,225.9832073,-73.85,188.4401012,-76.95,194.8614107,-81.75,274.4080983
B,2,quinta,-74.1,236.6028159,-77,243.3792769,-79.2,223.0635464,-79.1,223.0635464,-81.1,288.893043
B,3,sesta,0,0,0,0,0,0,0,0,0,0
C,1,settima,-85.4,344.3982309,-85.8,316.8662916,-69.4,107.94951,-86,316.8662916,-87.4,333.3854552
C,2,ottava,-74.9,294.6488874,-84,267.4942824,-81,294.6488874,-80.45,270.6405187,-82.45,257.5634983
C,3,nona,-75,135.0350826,-86.65,316.8662916,-83.65,300.229146,-82,316.8662916,-83,284.7744856
