Colonna,Riga,Cella,rssi_cQsW,distance_cQsW,rssi_kpOU,distance_kpOU,rssi_94gJ,distance_94gJ,rssi_Cvj5,distance_Cvj5,rssi_cGTg,distance_cGTg
A,1,prima,-86.58333333,188.3353872,-85,177.9487597,-85.75,200.1861846,-79.83333333,126.5014431,-81.25,143.0802215
A,2,seconda,-82.15384615,142.7286889,-80.15384615,124.2353339,-83.76923077,166.4353719,-87.07692308,222.6081434,-81.07692308,127.1063228
A,3,terza,-82,139.4446281,-77.07142857,92.64227765,-85.07142857,184.6407386,-87.42857143,206.2488033,-80.35714286,120.7567719
B,1,quarta,-81.28571429,210.4499285,-79.21428571,170.5622518,-79.28571429,116.1336977,-82.57142857,153.7326317,-80.85714286,208.292553
B,2,quinta,-76.06666667,128.9640967,-82.13333333,146.7407284,-83.46666667,161.2772754,-83.4,156.8975147,-80.2,185.9205293
B,3,sesta,0,0,0,0,0,0,0,0,0,0
C,1,settima,-89.23529412,252.533439,-84.58823529,254.1837417,-74.70588235,77.2869624,-89,251.8393463,-89.94117647,252.6739699
C,2,ottava,-81375,146.6333965,-86875,211.578895,-85.29166667,192.2375314,-85.20833333,190.0295189,-86.54166667,205.4630274
C,3,nona,-78.9375,102.030882,-89.1875,256.0334281,-87.1875,219.0295432,-86.6875,215.2108914,-86.5,206.097672
