cella,rssi_cQsW,distance_cQsW,rssi_kpOU,distance_kpOU,rssi_94gJ,distance_94gJ,rssi_Cvj5,distance_Cvj5,rssi_cGTg,distance_cGTg,rssi_At5a,distance_At5a
1,-85.0,172.20147433393572,-1000,-1000,-91.0,291.2706830479703,-72.0,47.97472615363984,-88.0,224.95990907027343,-87.0,810.2065201734148
1,-87.0,205.9962821573771,-1000,-1000,-90.0,267.49428238513224,-72.0,47.97472615363984,-84.0,157.19529951858468,-74.0,232.73498742777238
1,-85.0,172.20147433393572,-1000,-1000,-91.0,291.2706830479703,-74.0,59.232244464959585,-83.0,143.34106104323652,-82.0,513.3982155520251
1,-85.0,172.20147433393572,-1000,-1000,-86.0,188.44010118476592,-71.0,43.082237744493845,-84.0,157.19529951858468,-77.0,316.12971163455256
1,-83.0,143.34106104323652,-1000,-1000,-92.0,316.86629158494924,-71.0,43.082237744493845,-82.0,130.5626326409025,-82.0,513.3982155520251
1,-83.0,143.34106104323652,-1000,-1000,-88.0,224.95990907027343,-72.0,47.97472615363984,-83.0,143.34106104323652,-75.0,258.09772687942456
1,-84.0,157.19529951858468,-1000,-1000,-92.0,316.86629158494924,-71.0,43.082237744493845,-84.0,157.19529951858468,-75.0,258.09772687942456
1,-85.0,172.20147433393572,-1000,-1000,-88.0,224.95990907027343,-74.0,59.232244464959585,-84.0,157.19529951858468,-73.0,209.57053861768162
1,-85.0,172.20147433393572,-1000,-1000,-90.0,267.49428238513224,-71.0,43.082237744493845,-82.0,130.5626326409025,-82.0,513.3982155520251
1,-87.0,205.9962821573771,-1000,-1000,-88.0,224.95990907027343,-72.0,47.97472615363984,-82.0,130.5626326409025,-74.0,232.73498742777238
1,-84.0,157.19529951858468,-1000,-1000,-90.0,267.49428238513224,-75.0,65.67816922105449,-84.0,157.19529951858468,-78.0,349.1837054054061
1,-84.0,157.19529951858468,-1000,-1000,-89.0,245.4258733233999,-73.0,53.345013934089906,-84.0,157.19529951858468,-76.0,285.83382942401005
1,-84.0,157.19529951858468,-1000,-1000,-88.0,224.95990907027343,-72.0,47.97472615363984,-85.0,172.20147433393572,-80.0,424.42250458214977
1,-82.0,130.5626326409025,-1000,-1000,-88.0,224.95990907027343,-73.0,53.345013934089906,-84.0,157.19529951858468,-74.0,232.73498742777238
1,-84.0,157.19529951858468,-1000,-1000,-90.0,267.49428238513224,-71.0,43.082237744493845,-86.0,188.44010118476592,-74.0,232.73498742777238
1,-83.0,143.34106104323652,-1000,-1000,-87.0,205.9962821573771,-73.0,53.345013934089906,-84.0,157.19529951858468,-75.0,258.09772687942456
1,-84.0,157.19529951858468,-1000,-1000,-91.0,291.2706830479703,-72.0,47.97472615363984,-88.0,224.95990907027343,-74.0,232.73498742777238
1,-82.0,130.5626326409025,-1000,-1000,-90.0,267.49428238513224,-72.0,47.97472615363984,-84.0,157.19529951858468,-74.0,232.73498742777238
1,-87.0,205.9962821573771,-1000,-1000,-88.0,224.95990907027343,-71.0,43.082237744493845,-82.0,130.5626326409025,-79.0,385.20664988101305
1,-83.0,143.34106104323652,-1000,-1000,-94.0,373.9897750852545,-71.0,43.082237744493845,-80.0,107.94950998807676,-76.0,285.83382942401005
1,-84.0,157.19529951858468,-1000,-1000,-89.0,245.4258733233999,-72.0,47.97472615363984,-82.0,130.5626326409025,-81.0,467.06898420241555
1,-85.0,172.20147433393572,-1000,-1000,-88.0,224.95990907027343,-74.0,59.232244464959585,-82.0,130.5626326409025,-81.0,467.06898420241555
1,-85.0,172.20147433393572,-1000,-1000,-93.0,344.3982309398398,-71.0,43.082237744493845,-87.0,205.9962821573771,-75.0,258.09772687942456
1,-83.0,143.34106104323652,-1000,-1000,-88.0,224.95990907027343,-72.0,47.97472615363984,-84.0,157.19529951858468,-75.0,258.09772687942456
1,-86.0,188.44010118476592,-1000,-1000,-90.0,267.49428238513224,-70.0,38.63088335482623,-85.0,172.20147433393572,-76.0,285.83382942401005
1,-83.0,143.34106104323652,-1000,-1000,-89.0,245.4258733233999,-71.0,43.082237744493845,-81.0,118.78808676203266,-75.0,258.09772687942456
1,-85.0,172.20147433393572,-1000,-1000,-92.0,316.86629158494924,-74.0,59.232244464959585,-84.0,157.19529951858468,-81.0,467.06898420241555
1,-83.0,143.34106104323652,-1000,-1000,-90.0,267.49428238513224,-71.0,43.082237744493845,-82.0,130.5626326409025,-76.0,285.83382942401005
1,-84.0,157.19529951858468,-1000,-1000,-89.0,245.4258733233999,-72.0,47.97472615363984,-81.0,118.78808676203266,-83.0,563.677417130284
1,-84.0,157.19529951858468,-1000,-1000,-89.0,245.4258733233999,-72.0,47.97472615363984,-83.0,143.34106104323652,-83.0,563.677417130284
1,-87.0,205.9962821573771,-1000,-1000,-90.0,267.49428238513224,-72.0,47.97472615363984,-84.0,157.19529951858468,-78.0,349.1837054054061
1,-94.0,373.9897750852545,-1000,-1000,-87.0,205.9962821573771,-72.0,47.97472615363984,-83.0,143.34106104323652,-82.0,513.3982155520251
1,-94.0,373.9897750852545,-1000,-1000,-91.0,291.2706830479703,-72.0,47.97472615363984,-81.0,118.78808676203266,-79.0,385.20664988101305
1,-92.0,316.86629158494924,-1000,-1000,-88.0,224.95990907027343,-72.0,47.97472615363984,-83.0,143.34106104323652,-75.0,258.09772687942456
1,-88.0,224.95990907027343,-1000,-1000,-86.0,188.44010118476592,-74.0,59.232244464959585,-80.0,107.94950998807676,-72.0,188.44010118476592
