Colonna,Riga,Cella,rssi_cQsW,distance_cQsW,rssi_kpOU,distance_kpOU,rssi_94gJ,distance_94gJ,rssi_Cvj5,distance_Cvj5,rssi_cGTg,distance_cGTg
A,1,prima,-86.33333333,186.6128311,-85.33333333,179.0963244,-85,179.0969636,-79.33333333,107.4594139,-80.5,122.5125143
A,2,seconda,-81.85714286,133.4291783,-79.71428571,109.3693247,-84.42857143,166.0845064,-88.42857143,235.50672,-81.14285714,122.0051397
A,3,terza,-81.875,131.5795475,-76.875,80.60636489,-85.5,181.13422,-87.625,209.1023616,-80.25,114.3005924
B,1,quarta,-87.375,215.2681588,-84.875,171.7352319,-79.25,105.5745563,-82.125,135.4649756,-86.625,203.2588328
B,2,quinta,-81.14285714,120.8621404,-81.14285714,123.160641,-83.28571429,148.4302279,-83.28571429,147.7713515,-85.57142857,182.0331983
B,3,sesta,,,,,,,,,,
C,1,settima,-90.11111111,272.3801088,-90.44444444,279.8072652,-73.77777778,60.4831633,-88.88888889,243.697753,-89.88888889,255.7799308
C,2,ottava,-80.41666667,114.5873381,-86.91666667,206.4763435,-85.08333333,176.0861501,-85.16666667,177.1854307,-86.75,203.0653494
C,3,nona,-78.875,97.79601872,-89.4375,255.8082586,-87.3125,213.9182378,-86.5,200.4217022,-86.125,193.087238
