cell,rssi_cQsW,distance_cQsW,rssi_kpOU,distance_kpOU,rssi_94gJ,distance_94gJ,rssi_Cvj5,distance_Cvj5,rssi_cGTg,distance_cGTg,,
4,-83,143.341061,-87,205.9962822,-77,80.42696274,-76,72.72728276,-86,741.1283257,,
4,-92,316.8662916,-76,72.72728276,-76,72.72728276,-83,143.341061,-64,76.06612134,,
4,-89,245.4258733,-77,80.42696274,-76,72.72728276,-82,130.5626326,-64,76.06612134,,
5,-87,205.9962822,-79,,-82,130.5626326,-79,,-78,349.1837054,,
5,-92,316.8662916,-79,97.98282444,-88,224.9599091,-72,47.97472615,-72,188.4401012,,
5,-94,373.9897751,-84,157.1952995,-89,245.4258733,-79,97.98282444,-68,121.3214364,,
5,-89,245.4258733,-74,59.23224446,-83,143.341061,-83,143.341061,-75,258.0977269,,
5,-89,245.4258733,-75,65.67816922,-93,344.3982309,-90,267.4942824,-70,151.6749419,,
5,-88,224.9599091,-79,97.98282444,-79,97.98282444,-88,224.9599091,-66,96.40218327,,
5,-83,143.341061,-78,88.82761509,-86,188.4401012,-82,130.5626326,-72,188.4401012,,
5,-87,205.9962822,-81,118.7880868,-91,291.270683,-81,118.7880868,-63,67.38209834,,
5,-83,143.341061,-79,97.98282444,-82,130.5626326,-81,118.7880868,-77,316.1297116,,
5,-79,97.98282444,-76,72.72728276,-87,205.9962822,-85,172.2014743,-71,169.1896579,,
5,-79,97.98282444,-88,224.9599091,-92,316.8662916,-89,245.4258733,-65,85.70987866,,
5,-90,267.4942824,-81,118.7880868,-82,130.5626326,-89,245.4258733,-65,85.70987866,,
5,-89,245.4258733,-85,172.2014743,-86,188.4401012,-79,97.98282444,-77,316.1297116,,
5,-86,188.4401012,-69,34.58635039,-82,130.5626326,-78,88.82761509,-79,385.2066499,,
5,-89,245.4258733,-82,130.5626326,-80,107.94951,-80,107.94951,-74,232.7349874,,
5,-93,344.3982309,-79,97.98282444,-84,157.1952995,-78,88.82761509,-71,169.1896579,,
5,-81,118.7880868,-73,53.34501393,-84,157.1952995,-88,224.9599091,-73,209.5705386,,
5,-87,205.9962822,-75,65.67816922,-84,157.1952995,-83,143.341061,-77,316.1297116,,
5,-87,205.9962822,-80,107.94951,-75,65.67816922,-87,205.9962822,-68,121.3214364,,
5,-87,205.9962822,-75,65.67816922,-88,224.9599091,-83,143.341061,-70,151.6749419,,
5,-84,157.1952995,-85,172.2014743,-86,188.4401012,-83,143.341061,-64,76.06612134,,
5,-84,157.1952995,-75,65.67816922,-88,224.9599091,-83,143.341061,-66,96.40218327,,
6,0,,-80,107.94951,-80,107.94951,-74,59.23224446,-71,169.1896579,,
6,-82,130.5626326,-83,143.341061,-87,205.9962822,-78,88.82761509,-79,385.2066499,,
6,-88,224.9599091,-85,172.2014743,-76,72.72728276,-76,72.72728276,-73,209.5705386,,
6,-88,224.9599091,-79,97.98282444,-85,172.2014743,-76,72.72728276,-70,151.6749419,,
6,-89,245.4258733,-81,118.7880868,-80,107.94951,-72,47.97472615,-83,563.6774171,,
6,-93,344.3982309,-68,30.91655846,-82,130.5626326,-77,80.42696274,-74,232.7349874,,
6,-90,267.4942824,-81,118.7880868,-76,72.72728276,-72,47.97472615,-76,285.8338294,,
6,-83,143.341061,-74,59.23224446,-88,224.9599091,-85,172.2014743,-70,151.6749419,,
6,-84,157.1952995,-76,72.72728276,-83,143.341061,-79,97.98282444,-77,316.1297116,,
6,-84,157.1952995,-77,80.42696274,-84,157.1952995,-75,65.67816922,-76,285.8338294,,
6,-86,188.4401012,-78,88.82761509,-79,97.98282444,-75,65.67816922,-85,677.2343031,,
6,-82,130.5626326,-82,130.5626326,-78,88.82761509,-68,30.91655846,-80,424.4225046,,
6,-82,130.5626326,-86,188.4401012,-86,188.4401012,-79,97.98282444,-82,513.3982156,,
6,-82,130.5626326,-79,97.98282444,-84,157.1952995,-78,88.82761509,-74,232.7349874,,
6,-79,97.98282444,-82,130.5626326,-93,344.3982309,-90,267.4942824,-77,316.1297116,,
6,-82,130.5626326,-68,30.91655846,-81,118.7880868,-82,130.5626326,-70,151.6749419,,
6,-82,130.5626326,-82,130.5626326,-89,245.4258733,-73,53.34501393,-70,151.6749419,,
6,-88,224.9599091,-73,53.34501393,-82,130.5626326,-71,43.08223774,-74,232.7349874,,
6,-84,157.1952995,-83,143.341061,-85,172.2014743,-78,88.82761509,-72,188.4401012,,
6,-75,65.67816922,-69,34.58635039,-88,224.9599091,-75,65.67816922,-78,349.1837054,,
6,-83,143.341061,-74,59.23224446,-84,157.1952995,-71,43.08223774,-79,385.2066499,,
6,-84,157.1952995,-79,97.98282444,-90,267.4942824,-70,38.63088335,-75,258.0977269,,
6,-74,59.23224446,-80,107.94951,-80,107.94951,-81,118.7880868,-85,677.2343031,,
6,-79,97.98282444,-68,30.91655846,-84,157.1952995,-76,72.72728276,-72,188.4401012,,
6,-88,224.9599091,-74,59.23224446,-76,72.72728276,-78,88.82761509,-78,349.1837054,,
6,-92,316.8662916,-79,97.98282444,-79,97.98282444,-76,72.72728276,-76,285.8338294,,
6,-77,80.42696274,-73,53.34501393,-84,157.1952995,-83,143.341061,-75,258.0977269,,
6,-83,143.341061,-69,34.58635039,-92,316.8662916,-70,38.63088335,-77,316.1297116,,
cQsW,rssi,distance,distance,94gJ,rssi,distance,Cvj5,rssi,distance,cGTg,rssi,distance
7,-82,130.5626326,0,,-86,188.4401012,0,,-82,513.3982156,,
7,-65,21.86590278,-89,245.4258733,-91,291.270683,-91,291.270683,-68,121.3214364,,
7,-76,72.72728276,-86,188.4401012,-87,205.9962822,-87,205.9962822,-89,965.3498837,,
7,-81,118.7880868,-78,88.82761509,-89,245.4258733,-92,316.8662916,-82,513.3982156,,
7,-82,130.5626326,-87,205.9962822,-90,267.4942824,-90,267.4942824,-74,232.7349874,,
7,-86,188.4401012,-84,157.1952995,-81,118.7880868,-87,205.9962822,-73,209.5705386,,
7,-79,97.98282444,-79,97.98282444,-85,172.2014743,-89,245.4258733,-70,151.6749419,,
7,-62,15.22381458,-83,143.341061,-86,188.4401012,-94,373.9897751,-73,209.5705386,,
7,-90,267.4942824,-84,157.1952995,-92,316.8662916,-90,267.4942824,-76,285.8338294,,
7,-82,130.5626326,-90,267.4942824,-84,157.1952995,-88,224.9599091,-79,385.2066499,,
7,-77,80.42696274,-87,205.9962822,-88,224.9599091,-92,316.8662916,-83,563.6774171,,
7,-68,30.91655846,-89,245.4258733,-92,316.8662916,-94,373.9897751,-75,258.0977269,,
